UF,Cidade,País,Instituição,Formação,Área,Sub Área,Data Inscrição,Categoria,Inscrição,Credenciado,Data Credenciamento,Hora Credenciamento,Material,Inscrito,Gostaria de receber UMA mensagem dos patrocinadores por email?,Possui alguma necessidade especial?,Tamanho da Camisa,Você concorda com o Código de Conduta da Python Nordeste 2019? https://2019.pythonnordeste.org/cdc.html
Não respondeu,Não respondeu,Brasil,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,Pendente,não,Não credenciado,Não credenciado,não,não,Não respondeu,Não respondeu,Não respondeu,Não respondeu
Não respondeu,Não respondeu,Brasil,Não Respondeu,Mestrado,Não respondeu,Não respondeu,Não respondeu,Não respondeu,Pendente,não,Não credenciado,Não credenciado,não,não,Não,Não respondeu,M,"Sim, concordo e respeitarei o Código de Conduta da Python Nordeste 2019"
Não respondeu,Não respondeu,Brasil,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,10/05/2019 14:08:00,Meia-entrada,Aprovado,não,Não credenciado,Não credenciado,não,sim,Não,Não respondeu,M,"Sim, concordo e respeitarei o Código de Conduta da Python Nordeste 2019"
Não respondeu,Não respondeu,Brasil,Não Respondeu,Graduação,Não respondeu,Não respondeu,26/04/2019 14:49:00,Meia-entrada,Aprovado,não,Não credenciado,Não credenciado,não,sim,Sim,Não respondeu,G,"Sim, concordo e respeitarei o Código de Conduta da Python Nordeste 2019"
Não respondeu,Não respondeu,Brasil,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,22/05/2019 14:27:00,Patrocinador,Aprovado,não,Não credenciado,Não credenciado,não,sim,Não respondeu,Não respondeu,Não respondeu,Não respondeu
PE,Recife,Brasil,UNIVERSIDADE FEDERAL DE PERNAMBUCO,Graduação,"Lingüística, Letras e Artes",Letras,06/05/2019 16:37:00,Social,Aprovado,não,Não credenciado,Não credenciado,não,sim,Não,Não respondeu,M,"Sim, concordo e respeitarei o Código de Conduta da Python Nordeste 2019"
Não respondeu,Não respondeu,Brasil,IFPE IGARASSU,Não respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,Pendente,não,Não credenciado,Não credenciado,não,não,Não respondeu,Não respondeu,Não respondeu,Não respondeu
Não respondeu,Não respondeu,Brasil,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,17/06/2019 19:52:00,Voluntário,Aprovado,não,Não credenciado,Não credenciado,não,sim,Não respondeu,Não respondeu,Não respondeu,Não respondeu
Não respondeu,Não respondeu,Brasil,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,19/04/2019 10:23:00,Meia-entrada,Aprovado,não,Não credenciado,Não credenciado,não,sim,Não,Não respondeu,M,"Sim, concordo e respeitarei o Código de Conduta da Python Nordeste 2019"
Não respondeu,Não respondeu,Brasil,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,Pendente,não,Não credenciado,Não credenciado,não,não,Sim,Não respondeu,Não respondeu,Não respondeu
Não respondeu,Não respondeu,Brasil,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,17/06/2019 19:35:00,Patrocinador,Aprovado,não,Não credenciado,Não credenciado,não,sim,Não respondeu,Não respondeu,Não respondeu,Não respondeu
Não respondeu,Não respondeu,Brasil,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,07/05/2019 18:27:00,Inteira,Aprovado,não,Não credenciado,Não credenciado,não,sim,Sim,Não respondeu,XGG,"Sim, concordo e respeitarei o Código de Conduta da Python Nordeste 2019"
Não respondeu,Não respondeu,Brasil,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA  DA PARAÍBA",Não respondeu,Não respondeu,Não respondeu,26/04/2019 10:02:00,Meia-entrada,Aprovado,não,Não credenciado,Não credenciado,não,sim,Sim,Não respondeu,M,"Sim, concordo e respeitarei o Código de Conduta da Python Nordeste 2019"
Não respondeu,Não respondeu,Brasil,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,Inteira,Pendente,não,Não credenciado,Não credenciado,não,não,Não,Não respondeu,Não respondeu,Não respondeu
Não respondeu,Não respondeu,Brasil,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,Pendente,não,Não credenciado,Não credenciado,não,não,Não,Camiseta tamanho: Masculina 3G,Masculina GG,"Sim, concordo e respeitarei o Código de Conduta da Python Nordeste 2019"
Não respondeu,Não respondeu,Brasil,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,Pendente,não,Não credenciado,Não credenciado,não,não,Não respondeu,Não respondeu,Não respondeu,Não respondeu
Não respondeu,Não respondeu,Brasil,UNIVERSIDADE FEDERAL DO PIAUÍ,Graduação,Ciências Exatas e da Terra,Ciência da Computação,15/04/2019 18:30:00,Meia-entrada,Aprovado,não,Não credenciado,Não credenciado,não,sim,Sim,Não respondeu,M,"Sim, concordo e respeitarei o Código de Conduta da Python Nordeste 2019"
Não respondeu,Não respondeu,Brasil,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,Pendente,não,Não credenciado,Não credenciado,não,não,Sim,Não respondeu,G,"Sim, concordo e respeitarei o Código de Conduta da Python Nordeste 2019"
Não respondeu,Não respondeu,Brasil,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,17/06/2019 14:39:00,Inteira,Aprovado,não,Não credenciado,Não credenciado,não,sim,Sim,Não,G,"Sim, concordo e respeitarei o Código de Conduta da Python Nordeste 2019"
Não respondeu,Não respondeu,Brasil,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,26/04/2019 14:14:00,Patrocinador,Aprovado,não,Não credenciado,Não credenciado,não,sim,Não,Não respondeu,G,"Sim, concordo e respeitarei o Código de Conduta da Python Nordeste 2019"
Não respondeu,Não respondeu,Brasil,UNIVERSIDADE FEDERAL DE PERNAMBUCO,Ensino Médio (2° grau),Engenharias,Engenharia Biomédica,Não respondeu,Não respondeu,Pendente,não,Não credenciado,Não credenciado,não,não,Não respondeu,Não respondeu,Não respondeu,Não respondeu
Não respondeu,Não respondeu,Brasil,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,Pendente,não,Não credenciado,Não credenciado,não,não,Não respondeu,Não respondeu,Não respondeu,Não respondeu
Não respondeu,Não respondeu,Brasil,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,Pendente,não,Não credenciado,Não credenciado,não,não,Sim,Não respondeu,Masculina GG,"Sim, concordo e respeitarei o Código de Conduta da Python Nordeste 2019"
Não respondeu,Não respondeu,Brasil,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,26/04/2019 16:59:00,Meia-entrada,Aprovado,não,Não credenciado,Não credenciado,não,sim,Não,Não respondeu,G,"Sim, concordo e respeitarei o Código de Conduta da Python Nordeste 2019"
Não respondeu,Não respondeu,Brasil,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,Pendente,não,Não credenciado,Não credenciado,não,não,Sim,Não respondeu,Não respondeu,"Sim, concordo e respeitarei o Código de Conduta da Python Nordeste 2019"
Não respondeu,Não respondeu,Brasil,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE PERNAMBUCO",Não respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,Pendente,não,Não credenciado,Não credenciado,não,não,Não respondeu,Não respondeu,Não respondeu,Não respondeu
Não respondeu,Não respondeu,Brasil,UNIMAIS - Faculdade Educamais,Especialista/Pós-graduado,Não respondeu,Não respondeu,23/04/2019 09:13:00,Inteira,Aprovado,não,Não credenciado,Não credenciado,não,sim,Sim,Não respondeu,M,"Sim, concordo e respeitarei o Código de Conduta da Python Nordeste 2019"
PE,Recife,Brasil,UNINASSAU- MAURICIO DE NASSAU- RECIFE,Graduação,Ciências Exatas e da Terra,Ciência da Computação,20/04/2019 13:14:00,Inteira,Aprovado,não,Não credenciado,Não credenciado,não,sim,Sim,Não respondeu,P,"Sim, concordo e respeitarei o Código de Conduta da Python Nordeste 2019"
PE,Carpina,Brasil,Universidade Federal Rural de Pernambuco,Ensino Médio (2° grau),Ciências Exatas e da Terra,Ciência da Computação,Não respondeu,Não respondeu,Pendente,não,Não credenciado,Não credenciado,não,não,Não,Não respondeu,G,"Sim, concordo e respeitarei o Código de Conduta da Python Nordeste 2019"
Não respondeu,Não respondeu,Brasil,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,04/07/2019 23:06:00,Inteira,Aprovado,não,Não credenciado,Não credenciado,não,sim,Sim,Não respondeu,P,"Sim, concordo e respeitarei o Código de Conduta da Python Nordeste 2019"
Não respondeu,Não respondeu,Brasil,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,Pendente,não,Não credenciado,Não credenciado,não,não,Sim,Não,M,"Sim, concordo e respeitarei o Código de Conduta da Python Nordeste 2019"
PE,Recife,Brasil,Universsidade Federal Rural de Pernambuco - UFRPE,Graduação,Ciências Exatas e da Terra,Ciência da Computação,Não respondeu,Não respondeu,Pendente,não,Não credenciado,Não credenciado,não,não,Não respondeu,Não respondeu,Não respondeu,Não respondeu
Não respondeu,Não respondeu,Brasil,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,17/06/2019 19:54:00,Voluntário,Aprovado,não,Não credenciado,Não credenciado,não,sim,Não respondeu,Não respondeu,Não respondeu,Não respondeu
Não respondeu,Não respondeu,Brasil,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,Pendente,não,Não credenciado,Não credenciado,não,não,Não respondeu,Não respondeu,Não respondeu,Não respondeu
Não respondeu,Não respondeu,Brasil,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,08/07/2019 10:19:00,Cortesia,Aprovado,não,Não credenciado,Não credenciado,não,sim,Não respondeu,Não respondeu,Não respondeu,Não respondeu
Não respondeu,Não respondeu,Brasil,"IFPB - INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA  DA PARAÍBA - CAMPUS GUARABIRA",Não respondeu,Não respondeu,Não respondeu,12/04/2019 21:30:00,Meia-entrada,Aprovado,não,Não credenciado,Não credenciado,não,sim,Sim,Não respondeu,GG,"Sim, concordo e respeitarei o Código de Conduta da Python Nordeste 2019"
PE,Moreno,Brasil,UNIVERSIDADE FEDERAL RURAL DE PERNAMBUCO,Mestrado,Ciências Exatas e da Terra,Ciência da Computação,14/04/2019 18:38:00,Meia-entrada,Aprovado,não,Não credenciado,Não credenciado,não,sim,Sim,Não respondeu,M,"Sim, concordo e respeitarei o Código de Conduta da Python Nordeste 2019"
Não respondeu,Não respondeu,Brasil,Não Respondeu,Mestrado,Não respondeu,Não respondeu,13/04/2019 09:39:00,Inteira,Aprovado,não,Não credenciado,Não credenciado,não,sim,Sim,Nao,G,"Sim, concordo e respeitarei o Código de Conduta da Python Nordeste 2019"
Não respondeu,Não respondeu,Brasil,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,Pendente,não,Não credenciado,Não credenciado,não,não,Não respondeu,Não respondeu,Não respondeu,Não respondeu
Não respondeu,Não respondeu,Brasil,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,17/04/2019 10:59:00,Inteira,Aprovado,não,Não credenciado,Não credenciado,não,sim,Sim,Não.,M,"Sim, concordo e respeitarei o Código de Conduta da Python Nordeste 2019"
Não respondeu,Não respondeu,Brasil,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,19/04/2019 14:00:00,Inteira,Aprovado,não,Não credenciado,Não credenciado,não,sim,Sim,Não respondeu,M,"Sim, concordo e respeitarei o Código de Conduta da Python Nordeste 2019"
Não respondeu,Não respondeu,Brasil,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,Pendente,não,Não credenciado,Não credenciado,não,não,Não,Não respondeu,G,"Sim, concordo e respeitarei o Código de Conduta da Python Nordeste 2019"
RN,Jucurutu,Brasil,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,Inteira,Pendente,não,Não credenciado,Não credenciado,não,não,Não,Não,Masculina G,"Sim, concordo e respeitarei o Código de Conduta da Python Nordeste 2019"
Não respondeu,Não respondeu,Brasil,Não Respondeu,Graduação,Engenharias,Engenharia da Computação,12/04/2019 22:02:00,Meia-entrada,Aprovado,não,Não credenciado,Não credenciado,não,sim,Não,Não respondeu,P,"Sim, concordo e respeitarei o Código de Conduta da Python Nordeste 2019"
Não respondeu,Não respondeu,Brasil,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,12/04/2019 22:56:00,Meia-entrada,Aprovado,não,Não credenciado,Não credenciado,não,sim,Não,Não respondeu,Não respondeu,Não respondeu
PE,Jaboatão dos Guararapes,Brasil,CESAR.edu,Especialista/Pós-graduado,Não respondeu,Não respondeu,12/04/2019 20:37:00,Inteira,Aprovado,não,Não credenciado,Não credenciado,não,sim,Não,não,GG,"Sim, concordo e respeitarei o Código de Conduta da Python Nordeste 2019"
Não respondeu,Não respondeu,Brasil,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,21/05/2019 14:51:00,Inteira,Aprovado,não,Não credenciado,Não credenciado,não,sim,Não,Não respondeu,G,"Sim, concordo e respeitarei o Código de Conduta da Python Nordeste 2019"
Não respondeu,Não respondeu,Brasil,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,17/06/2019 19:38:00,Patrocinador,Aprovado,não,Não credenciado,Não credenciado,não,sim,Não respondeu,Não respondeu,Não respondeu,Não respondeu
Não respondeu,Não respondeu,Brasil,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,12/04/2019 20:31:00,Meia-entrada,Aprovado,não,Não credenciado,Não credenciado,não,sim,Sim,Não,G,"Sim, concordo e respeitarei o Código de Conduta da Python Nordeste 2019"
Não respondeu,Não respondeu,Brasil,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,17/06/2019 19:38:00,Patrocinador,Aprovado,não,Não credenciado,Não credenciado,não,sim,Não respondeu,Não respondeu,Não respondeu,Não respondeu
Não respondeu,Não respondeu,Brasil,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,Pendente,não,Não credenciado,Não credenciado,não,não,Não,Não respondeu,G,"Sim, concordo e respeitarei o Código de Conduta da Python Nordeste 2019"
Não respondeu,Não respondeu,Brasil,UFPE - UNIVERSIDADE FEDERAL DE PERNAMBUCO - Centro Acadêmico do Agreste,Graduação,Ciências Sociais Aplicadas,Direito,Não respondeu,Não respondeu,Pendente,não,Não credenciado,Não credenciado,não,não,Não respondeu,Não respondeu,Não respondeu,Não respondeu
Não respondeu,Não respondeu,Brasil,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,Pendente,não,Não credenciado,Não credenciado,não,não,Não respondeu,Não respondeu,Não respondeu,Não respondeu
PE,Recife,Brasil,UNIVERSIDADE FEDERAL RURAL DE PERNAMBUCO,Graduação,Ciências Exatas e da Terra,Ciência da Computação,15/04/2019 11:16:00,Meia-entrada,Aprovado,não,Não credenciado,Não credenciado,não,sim,Não,Não respondeu,PP,"Sim, concordo e respeitarei o Código de Conduta da Python Nordeste 2019"
Não respondeu,Não respondeu,Brasil,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,Pendente,não,Não credenciado,Não credenciado,não,não,Sim,Não respondeu,P,"Sim, concordo e respeitarei o Código de Conduta da Python Nordeste 2019"
PE,Recife,Brasil,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,17/06/2019 19:35:00,Patrocinador,Aprovado,não,Não credenciado,Não credenciado,não,sim,Não respondeu,Não respondeu,Não respondeu,Não respondeu
Não respondeu,Não respondeu,Brasil,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,26/04/2019 15:29:00,Patrocinador,Aprovado,não,Não credenciado,Não credenciado,não,sim,Não respondeu,Não respondeu,Não respondeu,Não respondeu
Não respondeu,Não respondeu,Brasil,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,Pendente,não,Não credenciado,Não credenciado,não,não,Não respondeu,Não respondeu,Não respondeu,Não respondeu
Não respondeu,Não respondeu,Brasil,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,Pendente,não,Não credenciado,Não credenciado,não,não,Não,Não respondeu,Masculina P,"Sim, concordo e respeitarei o Código de Conduta da Python Nordeste 2019"
Não respondeu,Não respondeu,Brasil,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,Pendente,não,Não credenciado,Não credenciado,não,não,Não respondeu,Não respondeu,Não respondeu,Não respondeu
Não respondeu,Não respondeu,Brasil,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,15/04/2019 10:30:00,Meia-entrada,Aprovado,não,Não credenciado,Não credenciado,não,sim,Não,Não respondeu,Não respondeu,Não respondeu
Não respondeu,Não respondeu,Brasil,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,Pendente,não,Não credenciado,Não credenciado,não,não,Não,Não respondeu,Masculina M,"Sim, concordo e respeitarei o Código de Conduta da Python Nordeste 2019"
PE,Recife,Brasil,UNIVERSIDADE FEDERAL DE PERNAMBUCO,Graduação,Ciências Exatas e da Terra,Ciência da Computação,Não respondeu,Não respondeu,Pendente,não,Não credenciado,Não credenciado,não,não,Sim,Não respondeu,G,"Sim, concordo e respeitarei o Código de Conduta da Python Nordeste 2019"
PB,João Pessoa,Brasil,UNIVERSIDADE FEDERAL DA PARAÍBA,Graduação,Não respondeu,Não respondeu,14/04/2019 14:42:00,Cortesia,Aprovado,não,Não credenciado,Não credenciado,não,sim,Sim,Não respondeu,M,"Sim, concordo e respeitarei o Código de Conduta da Python Nordeste 2019"
PE,Recife,Brasil,UNIVERSIDADE FEDERAL DE PERNAMBUCO,Graduação,Engenharias,Engenharia Biomédica,Não respondeu,Não respondeu,Pendente,não,Não credenciado,Não credenciado,não,não,Não,Não respondeu,Não respondeu,"Sim, concordo e respeitarei o Código de Conduta da Python Nordeste 2019"
Não respondeu,Não respondeu,Brasil,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,25/06/2019 23:45:00,Meia-entrada,Aprovado,não,Não credenciado,Não credenciado,não,sim,Sim,Não respondeu,M,"Sim, concordo e respeitarei o Código de Conduta da Python Nordeste 2019"
Não respondeu,Não respondeu,Brasil,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,Pendente,não,Não credenciado,Não credenciado,não,não,Não,Não respondeu,M,"Sim, concordo e respeitarei o Código de Conduta da Python Nordeste 2019"
Não respondeu,Não respondeu,Brasil,UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE,Graduação,Ciências Exatas e da Terra,Ciência da Computação,27/06/2019 15:35:00,Cortesia,Aprovado,não,Não credenciado,Não credenciado,não,sim,Sim,Não.,M,"Sim, concordo e respeitarei o Código de Conduta da Python Nordeste 2019"
MS,Dourados,Brasil,nao lembro,Especialista/Pós-graduado,Não respondeu,Não respondeu,Não respondeu,Não respondeu,Pendente,não,Não credenciado,Não credenciado,não,não,Não respondeu,Não respondeu,Não respondeu,Não respondeu
Não respondeu,Não respondeu,Brasil,Não Respondeu,Graduação,Não respondeu,Não respondeu,Não respondeu,Não respondeu,Pendente,não,Não credenciado,Não credenciado,não,não,Não respondeu,Não respondeu,Não respondeu,Não respondeu
PB,Catolé do Rocha,Brasil,UNIVERSIDADE ESTADUAL DA PARAÍBA,Graduação,Não respondeu,Não respondeu,Não respondeu,Não respondeu,Pendente,não,Não credenciado,Não credenciado,não,não,Não respondeu,Não respondeu,Não respondeu,Não respondeu
Não respondeu,Não respondeu,Brasil,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,12/04/2019 20:56:00,Inteira,Aprovado,não,Não credenciado,Não credenciado,não,sim,Não,Não respondeu,P,"Sim, concordo e respeitarei o Código de Conduta da Python Nordeste 2019"
Não respondeu,Não respondeu,Brasil,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,17/06/2019 19:33:00,Patrocinador,Aprovado,não,Não credenciado,Não credenciado,não,sim,Não respondeu,Não respondeu,Não respondeu,Não respondeu
Não respondeu,Não respondeu,Brasil,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,Pendente,sim,03/05/2019,16:00,sim,não,Sim,Não respondeu,Não respondeu,"Sim, concordo e respeitarei o Código de Conduta da Python Nordeste 2019"
Não respondeu,Não respondeu,Brasil,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,Pendente,não,Não credenciado,Não credenciado,não,não,Não respondeu,Não respondeu,Não respondeu,Não respondeu
Não respondeu,Não respondeu,Brasil,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,17/07/2019 15:41:00,Patrocinador,Aprovado,não,Não credenciado,Não credenciado,não,sim,Não respondeu,Não respondeu,Não respondeu,Não respondeu
Não respondeu,Não respondeu,Brasil,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,07/05/2019 14:45:00,Meia-entrada,Aprovado,não,Não credenciado,Não credenciado,não,sim,Sim,Não respondeu,P,"Sim, concordo e respeitarei o Código de Conduta da Python Nordeste 2019"
Não respondeu,Não respondeu,Brasil,FACULDADE NOVA ROMA,Graduação,Ciências Sociais Aplicadas,Ciências Contábeis,Não respondeu,Não respondeu,Pendente,não,Não credenciado,Não credenciado,não,não,Não respondeu,Não respondeu,Não respondeu,Não respondeu
